public_id	predicted_rating
122653045997905671927713471889615536378	true
275389285957305997321446227088442471741	true
333248764296609831067233855420575814716	true
264019763253447756851916399533799891538	true
158073737187690682830899773280916034317	true
104668593793347563618573389721561849271	true
285745438442578180936789861954628585938	true
142500044244587305036676237978793639344	true
240988184127263059916419185466606679317	true
212759982338406281914383909445151155412	true
105645043441064927518702590597259707996	true
76881083037647311398413427781828202795	true
267790766862268510261788753813859451354	true
124010988732731306866206608100274948958	partially false
43676147105425797478940064230863031145	false
43575447604673646481094151930617813921	true
303884933116057524070918302367133574254	true
41301074241283881671743762975670417063	true
140198032560885096183448016115491461747	true
285957877213079161020337624672032962390	true
166015129194195039443590558050140119376	partially false
11782079677089276967280378435037649080	other
136855968142801583670652206528736253201	false
189140268904961331849855944986596165082	false
103843785117134471905351170640978835255	false
280798488345158329065130657809075577898	other
309117208885088011567108342771072045227	true
3297100985334601748390533387428469265	other
70690477554397120206171903394253119775	partially false
150901752055902164703765577887183709014	other
55952114730044251136497135561217241920	true
201914460179975751683603402664338251598	true
297513102803273042738522945144353786894	partially false
277549316187144683426262555595907153054	false
67971979977764391903509744559553853100	partially false
187050988280936493805484655300903071335	false
73000635054614803805024014310144658440	partially false
136020206451587331653930997829967965195	false
83171825180047780686864594352124557514	true
279813052322333587151349001293720817336	partially false
79455199518594775107899581717295547117	false
252889991570120465878411541707198248164	partially false
42064890795111172674373473085738388215	other
244835145053545660365643759223246279254	true
244502204019734409827106049014504120078	true
313121041383375279275272363102204809958	true
301605319124445546395431745986261082923	true
281738133669911621490199782654990209340	partially false
45171633289509587609257748540255020439	partially false
54362275515758114571300170593285004556	other
122971623353409252549758093405184822544	other
140074128214342611920862187661871154612	true
158094626510641166901719935425753221381	false
188361334812179154173163155248577129969	partially false
126739491425003154874624756898445184759	other
328343318343078310545820219316669118135	false
340222199601518208928389011794951636825	true
147873413045255424343064491280404279426	false
94523179572867416180887462371886856030	true
257142174031913257178169900421852852669	true
46125355773213769582924040020396756417	true
81557757968091227409093030375865188805	true
101665004310922752328234675970920340805	partially false
171699802636042112258398211502739498580	true
184609832009703729195572089494700979116	partially false
327084572524003327358565558350010027756	true
120896213813020732533266021755495759889	other
44288234086037359267154519537717488809	true
322295042847360888971401455397128782232	true
56902930518333243256833709884297556468	true
266200333181699561620984963472469348010	false
194239995826679500599570113286837775636	true
325920641685975778234848520501937191821	other
272025269798413506779040984250312760051	other
315034030742623057078783728548573365409	false
320556119772223156435569186447453486073	false
169240787924948916094828378584375753859	partially false
330410406993050000414374130034289094106	true
257610270721076388300933215789377693839	true
220711724164883564605517914527897594743	other
317355157742103975136926845356516613847	partially false
21401217621815855303893518374280818701	other
54361187894539315250751876743979385316	partially false
240178795474820397329296098540967725526	false
271429858150461644823058958655330103268	other
118493736391039779464650400996285038769	partially false
152560620072367015359812149597447873853	true
58043135057254945490991034268901968178	partially false
182499364427885132199058835612064246673	false
151839726124589967947469415450837062750	true
66063238126496970249440152972548709093	true
330277431632902848694825617762290252330	false
12781028467453988202032181761691627625	true
202295815275784149521566705205808542208	other
319654188447317823407773321547796952365	true
88256910189474760694260871425503562851	false
141835434766118978475034015130763524598	true
66642510102856627872174890305410757120	false
34453145743404727629510815052032797529	false
136777197726369964590839264019021680241	partially false
279864553023703424160751936010544425169	true
225788832014292673213517349096635596014	true
296252994926809478914241820826158998957	true
43139484163498428641626432579615030454	true
90441816400320113167399611573580321697	other
272551099392675324731306423016944451154	true
229033402063228581832257061870133548257	true
64955151652169393233872991125098602037	true
50020916658535433614370090131741701786	true
153863132524282001349393245564535199790	true
176303560892511009234462993720602674020	true
295606730176720577672067817985311322786	true
242567418903956106158115645285303044263	true
185777463905968850954797946252673945351	true
262317359561421271503099608322563979616	true
168630167933794745497863382647998652761	true
175396946461752820260927296582271649765	true
128673969544887014112874722250225160398	true
297591580895689425849373477117422711589	false
160429690561290892893444429613585961776	true
167282208584189593961208697574617768921	partially false
153413353294637456778770852368236678845	true
185100236658122622816126035101099568761	true
29463835989498433505752090283994950362	true
71465818369133525103169660454595385002	true
234242797683800776876719382265426554314	true
54153657768533122165913673596265898436	true
160041499387201398371320513885789589546	other
121134728971857760974547929716810845044	true
298272236916191730195737553991367923554	true
70381320899994011341848710488105363451	true
172223136702594931902136373660943264896	other
8825261844302801006406242049613520913	true
7680489079867068140564496336735896469	true
54688712778267922348610211453294770038	true
104589037423075649302005675867157134816	true
73257020784251766433168305588037078557	true
139924374180619967196409555904041689472	true
76843441503493252304942628948139343325	true
152268304197102830214965820369934196688	true
266395614791875836926396928370420406227	true
258829309535425276350763149382498653744	false
225477679296468901121622447952821522587	true
96937410132542135152629626396821026387	true
195567146821647531237035109042014655536	partially false
204168055253944555338677855725036860837	true
280977318860461965401681159973190647886	true
28070735176737195652540407892504944071	partially false
218269668526748655502263047268775987406	true
295099546017208951882229164960862333039	true
261076908714584999386249878156498941652	true
217714544750618669790295832224878060205	other
144243934266366015992482948123848406077	true
140615991677165626931956511158469404447	true
224310754201493812089877826895140661584	true
222271694865032530503017954545610239872	other
276500317175522700925880585911681761188	true
129001368288934163726698146308431990346	true
311812003216525575040861703796741201657	partially false
154677032441099570057515460839906440707	true
60684424003241906420623418772907546149	true
39310041483877003275003860085912868357	true
293725483756923404068028228405236195310	true
250413130058349215829781715212948375970	true
37165697376437806696576651574029019912	true
125165025622788100125961061978844768119	true
237087045383621242876477920614769301172	true
305956420609167922561995105825347901531	true
80510579290994896496427430769383439164	partially false
264932835106466579217405976017151419901	true
103422510407799292520953641957755654868	true
177643459121484534194087383375687678276	other
132412250888722078550977673310446475543	false
247883841026010027746462709883737431887	false
335708420951434500580346070461514755495	true
29227198939591234440940676358425133405	true
279695524963028134380587749147637744676	true
326088842909445644882716078363538161821	true
42978290256739087946697425240435980877	true
153348902846275999041557698022014748265	true
171737832406462997098716652637979231545	true
328463177050754013970155943815641257566	true
195189102587797754971974785843520314580	true
167099705799622283015006314379141300911	true
290564535023054991384338231225891308668	true
255514464029960534234253904204791665635	true
105625103119574386858328487241855757744	true
221798654526899691732312729175952308751	true
307887265916520394827651385155873095537	true
122832090577316051288627864330915724275	true
188370541771676804891934827803373903807	true
176970782792256200088732947547586213192	true
56345734238127361345920267054928193610	true
